,date,author,post_name,post_tag,post_id,link
70,2024-06-07 12:36:00,Елизавета Ронжина,Антон Ефимов возглавит новое трейдинг-подразделение в OMD OM Group,Маркетинг,323208,https://adindex.ru/news/marketing/2024/06/7/323208.phtml
71,2024-06-07 11:10:00,Не указан,Авторы «ВКонтакте» смогут получать выплаты без оформления юрлица или самозанятости,Digital,323202,https://adindex.ru/news/digital/2024/06/7/323202.phtml
72,2024-06-07 10:03:00,Не указан,Финал конкурса рекламы «Битва креаторов» состоится 7 июня в Саранске,Пресс-релизы,323199,https://adindex.ru/news/releases/2024/06/7/323199.phtml
73,2024-06-07 09:40:00,Не указан,Юлия Пересильд и ее дочь представили новую коллекцию Ecco,Тенденции,323198,https://adindex.ru/news/tendencies/2024/06/7/323198.phtml
74,2024-06-07 08:37:00,Не указан,Стриминг «Звук» будет развивать театральное искусство,Маркетинг,323197,https://adindex.ru/news/marketing/2024/06/7/323197.phtml
75,2024-06-07 08:00:00,Не указан,WhatsApp создаст специального помощника с ИИ,Digital,323194,https://adindex.ru/news/digital/2024/06/7/323194.phtml
76,2024-06-07 07:47:00,Не указан,В Госдуме подготовлен законопроект о запрете рекламы в запрещенных соцсетях,Право,323196,https://adindex.ru/news/right/2024/06/7/323196.phtml
77,2024-06-07 07:15:00,Не указан,Крупнейшие продуктовые ретейлеры увеличили выручку на четверть,Тенденции,323195,https://adindex.ru/news/tendencies/2024/06/7/323195.phtml
78,2024-06-07 06:51:00,Не указан,СТС снимет свою версию телеигры «Форт Боярд»,Медиа,323193,https://adindex.ru/news/media/2024/06/7/323193.phtml
79,2024-06-06 18:24:00,Елизавета Ронжина,«Игроник» объединился с Tele2 для создания диджитал-инструментов,Маркетинг,323189,https://adindex.ru/news/marketing/2024/06/6/323189.phtml
80,2024-06-06 17:42:00,Елизавета Ронжина,Видеореклама появилась в Telegram Mini Apps,Digital,323186,https://adindex.ru/news/digital/2024/06/6/323186.phtml
81,2024-06-06 16:27:00,Елизавета Худоятова,RoRe увеличила прогноз по объему рынка,Рекламные бюджеты,323184,https://adindex.ru/news/ad_budjet/2024/06/6/323184.phtml
82,2024-06-06 14:30:00,Елизавета Ронжина,Лепота! Актер «Великолепного века» анонсировал проект с «Иви»,Креатив,323182,https://adindex.ru/news/creative/2024/06/6/323182.phtml
83,2024-06-06 13:29:00,Елизавета Ронжина,«Союзмультфильм» и Сергей Лукьяненко представят медиафраншизу о русских супергероях,Медиа,323181,https://adindex.ru/news/media/2024/06/6/323181.phtml
84,2024-06-06 13:12:00,Мария Хайкина,Медиахолдинг МАЕР поддержал ПМЭФ’24,Пресс-релизы,323164,https://adindex.ru/news/releases/2024/06/5/323164.phtml?erid=2Vtzqv1KavS
85,2024-06-06 12:09:00,Елизавета Ронжина,Блогер Сергей Мезенцев стал ведущим шоу о риелторах «Не в метрах счастье»,Медиа,323178,https://adindex.ru/news/media/2024/06/6/323178.phtml
86,2024-06-06 11:29:00,Не указан,Яна Лютаревич уходит из Divan.ru,Кадры,323176,https://adindex.ru/news/hr/2024/06/6/323176.phtml
87,2024-06-06 10:18:00,Не указан,Продажи техники выросли на 15% в первом квартале,Тенденции,323174,https://adindex.ru/news/tendencies/2024/06/6/323174.phtml
88,2024-06-06 09:49:00,Не указан,Треть компаний увеличили расходы на рекламу в первом квартале,Тенденции,323173,https://adindex.ru/news/tendencies/2024/06/6/323173.phtml
89,2024-06-06 08:23:00,Не указан,Disney может выпустить продолжение «Гравити Фолз»,Медиа,323172,https://adindex.ru/news/media/2024/06/6/323172.phtml
90,2024-06-06 07:50:00,Не указан,Instagram* добавил новые функции в Notes,Digital,323171,https://adindex.ru/news/digital/2024/06/6/323171.phtml
91,2024-06-06 07:38:00,Не указан,Новый кириллический домен появился в России впервые за 10 лет,Digital,323170,https://adindex.ru/news/digital/2024/06/6/323170.phtml
92,2024-06-06 07:17:00,Не указан,Количество китайских продавцов на Ozon превысило 100 тысяч,Тенденции,323169,https://adindex.ru/news/tendencies/2024/06/6/323169.phtml
93,2024-06-05 15:12:00,Не указан,Экспертный совет digital-премии «Проксима» окончательно сформирован,Пресс-релизы,323072,https://adindex.ru/news/releases/2024/06/3/323072.phtml?erid=2VtzqvEhV7t
94,2024-06-05 14:27:00,Елизавета Ронжина,«Яндекс» сформировал новый совет директоров,Digital,323161,https://adindex.ru/news/digital/2024/06/5/323161.phtml
95,2024-06-05 12:55:00,Елизавета Ронжина,«Самокат» выступил против кибербуллинга и провел день с подростком,Социальные проекты,323142,https://adindex.ru/news/social_advertising/2024/06/5/323142.phtml
96,2024-06-05 11:26:00,Елизавета Ронжина,«Дзен» добавил возможность подписки на определенную тему,Digital,323137,https://adindex.ru/news/digital/2024/06/5/323137.phtml
97,2024-06-05 10:40:00,Валентина Буйлова,IKEA открыла первый магазин в Roblox,Маркетинг,323136,https://adindex.ru/news/marketing/2024/06/5/323136.phtml
98,2024-06-05 09:42:00,Валентина Буйлова,«Тинькофф» переименован в Т‑Банк,Маркетинг,323134,https://adindex.ru/news/marketing/2024/06/5/323134.phtml
99,2024-06-05 07:52:00,Валентина Буйлова,Росаккредитация может обязать маркетплейсы подтверждать качество товаров,Право,323133,https://adindex.ru/news/right/2024/06/5/323133.phtml
100,2024-06-05 07:38:00,Валентина Буйлова,«Эксмо-АСТ» введет питчинг для игровых студий и театров,Маркетинг,323132,https://adindex.ru/news/marketing/2024/06/5/323132.phtml
101,2024-06-05 07:21:00,Валентина Буйлова,Продажи билетов на развлекательные мероприятия восстановились после падения,Тенденции,323131,https://adindex.ru/news/tendencies/2024/06/5/323131.phtml
102,2024-06-04 18:45:00,Елизавета Ронжина,Citroën «угнал» электромобили у элиты,Креатив,323130,https://adindex.ru/news/creative/2024/06/4/323130.phtml
103,2024-06-04 18:12:00,Елизавета Ронжина,Сибирские города-миллионники стали лидерами по обороту на маркетплейсах,Исследования,323129,https://adindex.ru/news/researches/2024/06/4/323129.phtml
104,2024-06-04 17:45:00,Елизавета Ронжина,«Авито» назначил Татьяну Жаркову руководителем финтех-направления,Кадры,323128,https://adindex.ru/news/hr/2024/06/4/323128.phtml
105,2024-06-04 16:31:00,Елизавета Ронжина,МТС Ads представила платформу для сбора данных о клиентах в едином профиле,Маркетинг,323126,https://adindex.ru/news/marketing/2024/06/4/323126.phtml
106,2024-06-04 15:08:00,Елизавета Ронжина,Группа «Хлеб» рассказала про опции «VK Музыки»,Креатив,323125,https://adindex.ru/news/creative/2024/06/4/323125.phtml
107,2024-06-04 12:16:00,Елизавета Ронжина,Четыре банка РФ объединили данные о счетах клиентов,Маркетинг,323121,https://adindex.ru/news/marketing/2024/06/4/323121.phtml
108,2024-06-04 11:49:00,Елизавета Ронжина,Гендиректором оператора платежной системы «Мир» стал Дмитрий Дубынин,Кадры,323120,https://adindex.ru/news/hr/2024/06/4/323120.phtml
109,2024-06-04 11:06:00,Елизавета Ронжина,«Веломоторс» назначила Ивана Нагибу директором по маркетингу,Кадры,323103,https://adindex.ru/news/hr/2024/06/4/323103.phtml
110,2024-06-04 10:17:00,Валентина Буйлова,«Роллтон» снял ролик под трек Глюкозы,Креатив,323085,https://adindex.ru/news/creative/2024/06/4/323085.phtml
111,2024-06-04 09:49:00,Валентина Буйлова,Объем заказов из других стран может сократиться на 10% год к году,Тенденции,323086,https://adindex.ru/news/tendencies/2024/06/4/323086.phtml
112,2024-06-04 08:38:00,Валентина Буйлова,Starbucks подала заявки в Роспатент на несколько товарных знаков,Право,323087,https://adindex.ru/news/right/2024/06/4/323087.phtml
113,2024-06-04 08:02:00,Валентина Буйлова,«Выходите за рамки привычного»: hh.ru снял ролик в стиле Уэса Андерсона,Креатив,323084,https://adindex.ru/news/creative/2024/06/4/323084.phtml
